Date,Open,High,Low,Close,adj_close,Volume
8/5/1993,1.098214,1.098214,1.035714,1.053571,0.262825,52343200
8/6/1993,1.044643,1.080357,1.044643,1.044643,0.260597,31480400
8/9/1993,1.044643,1.080357,1.035714,1.0625,0.265052,40353600
8/10/1993,1.053571,1.0625,1.008929,1.017857,0.253915,38194800
8/11/1993,1.017857,1.017857,0.964286,0.982143,0.245006,41742400
8/12/1993,0.982143,0.991071,0.928571,0.946429,0.236097,84543200
8/13/1993,0.946429,0.991071,0.9375,0.977679,0.243892,34703200
8/16/1993,0.982143,1,0.973214,0.982143,0.279285,25611600
8/17/1993,0.991071,1.017857,0.973214,1.013393,0.288172,27045200
8/18/1993,1.035714,1.0625,1.008929,1.017857,0.289441,47180000
8/19/1993,1.026786,1.026786,0.982143,0.982143,0.279285,38032400
8/20/1993,0.991071,1,0.964286,1,0.284363,24984400
8/23/1993,1,1.026786,0.982143,1.013393,0.288172,22794800
8/24/1993,1.008929,1.026786,0.991071,1,0.284363,25314800
8/25/1993,1,1.008929,0.955357,0.973214,0.276747,36442000
8/26/1993,0.973214,0.973214,0.946429,0.959821,0.272938,44035600
8/27/1993,0.964286,0.964286,0.9375,0.946429,0.26913,46642400
8/30/1993,0.946429,0.946429,0.924107,0.928571,0.264052,68434800
8/31/1993,0.946429,0.955357,0.928571,0.946429,0.26913,31967600
9/1/1993,0.946429,0.955357,0.919643,0.933036,0.265321,56392000
9/2/1993,0.928571,0.9375,0.901786,0.919643,0.261513,70565600
9/3/1993,0.928571,0.928571,0.901786,0.919643,0.261513,40734400
9/7/1993,0.928571,0.964286,0.919643,0.9375,0.266591,35884800
9/8/1993,0.9375,0.964286,0.928571,0.955357,0.271669,56658000
9/9/1993,0.955357,0.964286,0.928571,0.928571,0.264052,37382800
9/10/1993,0.9375,0.9375,0.90625,0.9375,0.266591,33622400
9/13/1993,0.9375,0.946429,0.883929,0.901786,0.256435,63946400
9/14/1993,0.866071,0.892857,0.857143,0.866071,0.246279,69160000
9/15/1993,0.875,0.892857,0.839286,0.875,0.248818,64430800
9/16/1993,0.866071,0.892857,0.866071,0.883929,0.251357,21490000
9/17/1993,0.870536,0.910714,0.866071,0.901786,0.256435,43008000
9/20/1993,0.901786,0.910714,0.883929,0.888393,0.252626,27759200
9/21/1993,0.883929,0.901786,0.852679,0.875,0.248818,36624000
9/22/1993,0.866071,0.910714,0.866071,0.910714,0.258974,27622000
9/23/1993,0.910714,0.910714,0.875,0.883929,0.251357,32737600
9/24/1993,0.892857,0.901786,0.875,0.892857,0.253896,19143600
9/27/1993,0.892857,0.901786,0.866071,0.883929,0.251357,28294000
9/28/1993,0.883929,0.892857,0.866071,0.883929,0.251357,23637600
9/29/1993,0.866071,0.888393,0.848214,0.852679,0.242471,59186400
9/30/1993,0.857143,0.857143,0.821429,0.834821,0.237393,68726000
10/1/1993,0.8125,0.821429,0.803571,0.8125,0.231045,83997200
10/4/1993,0.808036,0.821429,0.785714,0.8125,0.231045,48210400
10/5/1993,0.821429,0.857143,0.821429,0.839286,0.238662,44077600
10/6/1993,0.848214,0.857143,0.834821,0.84375,0.239932,43820000
10/7/1993,0.839286,0.848214,0.8125,0.821429,0.233584,33726000
10/8/1993,0.830357,0.830357,0.794643,0.808036,0.229776,34851600
10/11/1993,0.8125,0.857143,0.8125,0.848214,0.241201,40286400
10/12/1993,0.857143,0.892857,0.848214,0.857143,0.24374,76585600
10/13/1993,0.866071,0.866071,0.839286,0.857143,0.24374,44251200
10/14/1993,0.857143,0.875,0.839286,0.848214,0.241201,40171600
10/15/1993,0.991071,1.017857,0.955357,1.008929,0.286902,238812000
10/18/1993,1,1.026786,0.991071,1.013393,0.288172,83249600
10/19/1993,1.008929,1.017857,0.973214,0.991071,0.281824,53393200
